target,Category,,,,,,,
ANG,Angiogenesis,,,,,,,
BMP2,Angiogenesis,,,,,,,
BMP8A,Angiogenesis,,,,,,,
MMP3,Angiogenesis,,,,,,,
MMP9,Angiogenesis,,,,,,,
PDGFRA,Angiogenesis,,,,,,,
PIGF,Angiogenesis,,,,,,,
IFNA4/10/17,Anti-microbial and immune signatures,,,,,,,
NFKBIZ,Anti-microbial and immune signatures,,,,,,,
NLRC3,Anti-microbial and immune signatures,,,,,,,
OASL,Anti-microbial and immune signatures,,,,,,,
FCN1,Anti-microbial and immune signatures,,,,,,,
ANXA1,Anti-microbial and immune signatures,,,,,,,
BTN3A1,Anti-microbial and immune signatures,,,,,,,
CCL23,Anti-microbial and immune signatures,,,,,,,
CRP,Anti-microbial and immune signatures,,,,,,,
IL17RE,Anti-microbial and immune signatures,,,,,,,
SMO,Anti-microbial and immune signatures,,,,,,,
TNFRSF18,Anti-microbial and immune signatures,,,,,,,
TRAF3,Anti-microbial and immune signatures,,,,,,,
BCL2L11,Cell stress,,,,,,,
BECN1,Cell stress,,,,,,,
CHMP2B,Cell stress,,,,,,,
DDRGK1,Cell stress,,,,,,,
EIF2AK1,Cell stress,,,,,,,
HSF1,Cell stress,,,,,,,
PIK3C3,Cell stress,,,,,,,
PPIF,Cell stress,,,,,,,
RB1CC1,Cell stress,,,,,,,
TAX1BP1,Cell stress,,,,,,,
HDAC11,Chromatin remodeling,,,,,,,
KDM5A,Chromatin remodeling,,,,,,,
KDM5C,Chromatin remodeling,,,,,,,
NSD3,Chromatin remodeling,,,,,,,
APOB,Metabolism and lipid homeostasis,,,,,,,
ETFA,Metabolism and lipid homeostasis,,,,,,,
HADH,Metabolism and lipid homeostasis,,,,,,,
PLA2G10,Metabolism and lipid homeostasis,,,,,,,
PLA2G6,Metabolism and lipid homeostasis,,,,,,,
SRD5A2,Metabolism and lipid homeostasis,,,,,,,
PFKFB2,Metabolism and lipid homeostasis,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
