"","Gene","Subset","Contrast","log2FC","Pr(>|t|)","FDR"
"High...Low","A2M","BrM","High - Low",-0.977644436539456,0.304084447336316,0.53961832920419
"High...Low.1","ACADM","BrM","High - Low",0.2008960638924,0.635104983178257,0.797436795516381
"High...Low.2","ACADS","BrM","High - Low",-0.0592486427204883,0.844941277965804,0.91714060481369
"High...Low.3","ACAT1","BrM","High - Low",-0.490103889707202,0.13430477685675,0.337814424348424
"High...Low.4","ACVRL1","BrM","High - Low",-0.675187370147601,0.331211639602755,0.567154325341804
"High...Low.5","PSEN1","BrM","High - Low",-0.302031576882211,0.358774087119702,0.592213585762878
"High...Low.6","ADA","BrM","High - Low",0.689126553556829,0.239970315231237,0.472909523888576
"High...Low.7","SGCA","BrM","High - Low",-0.216896057161258,0.737116321058165,0.861220755938177
"High...Low.8","ADRB2","BrM","High - Low",0.175492770631494,0.788254551199475,0.887897034724691
"High...Low.9","AGL","BrM","High - Low",0.675577929582508,0.144111661438482,0.351485729345253
"High...Low.10","ABCD1","BrM","High - Low",0.587870297521512,0.325454886081169,0.561549067238334
"High...Low.11","ALDOB","BrM","High - Low",-0.841204462821359,0.302969704742117,0.539043347774559
"High...Low.12","APC","BrM","High - Low",0.793237261296642,0.131962396222623,0.334024592573637
"High...Low.13","APOA1","BrM","High - Low",-2.25937067503171,0.000628517846421223,0.0120749345814648
"High...Low.14","APOE","BrM","High - Low",0.374417785197016,0.6983198617374,0.837002644423083
"High...Low.15","ARSB","BrM","High - Low",0.412684949294597,0.532916312257405,0.72857414330901
"High...Low.16","ASL","BrM","High - Low",-0.442438646125933,0.07827808019451,0.244335194538419
"High...Low.17","ASS1","BrM","High - Low",-0.613890473077637,0.299982514603293,0.536425660496399
"High...Low.18","ATM","BrM","High - Low",1.14985288128567,0.039312741512741,0.16461695712758
"High...Low.19","ATP7A","BrM","High - Low",1.34144081985788,0.0164679719441783,0.100115878214701
"High...Low.20","ATP7B","BrM","High - Low",-0.291687656948533,0.517638594467444,0.718014070407426
"High...Low.21","BLM","BrM","High - Low",1.46177737179858,0.0190299454402367,0.108267156042664
"High...Low.22","BRCA2","BrM","High - Low",0.143720350454412,0.79255000109834,0.890297048838477
"High...Low.23","BTD","BrM","High - Low",0.351042913506378,0.588026361883589,0.765473554101984
"High...Low.24","BTK","BrM","High - Low",0.445594725523294,0.441466921790767,0.6621057285434
"High...Low.25","SERPING1","BrM","High - Low",-2.00735763352613,0.0012469908848164,0.0194053420228937
"High...Low.26","C2","BrM","High - Low",-0.114639323213128,0.862444425648831,0.926940038248074
"High...Low.27","C3","BrM","High - Low",-1.00846620803464,0.276973354322128,0.513498174790162
"High...Low.28","CA2","BrM","High - Low",-1.34801346132655,0.0921925510718392,0.268811712399556
"High...Low.29","CBS","BrM","High - Low",-1.20854040444539,0.167371365104273,0.384881029907658
"High...Low.30","CD36","BrM","High - Low",-0.288578444568828,0.669287491432327,0.821285325046566
"High...Low.31","CD40LG","BrM","High - Low",1.01726564854485,0.0233786337153719,0.12156387836805
"High...Low.32","CDK4","BrM","High - Low",0.471394425563953,0.0460718550041552,0.181255695024784
"High...Low.33","CDKN1C","BrM","High - Low",-0.451740619860258,0.484176283153488,0.693521675163029
"High...Low.34","LYST","BrM","High - Low",0.306188454805733,0.604417868326306,0.776035316362707
"High...Low.35","ERCC8","BrM","High - Low",-0.321872184185157,0.169630477196877,0.387196993960566
"High...Low.36","CLCN5","BrM","High - Low",-0.412204063343815,0.405760420839949,0.630245163837382
"High...Low.37","CLN3","BrM","High - Low",0.176171689248327,0.561092532469395,0.747957884932033
"High...Low.38","COL1A1","BrM","High - Low",1.29642039998953,0.0207596941836098,0.113400343471862
"High...Low.39","COL1A2","BrM","High - Low",0.67462765459067,0.293675037322984,0.530678606580799
"High...Low.40","COL4A3","BrM","High - Low",-1.14168757684416,0.10421662240308,0.287906679471925
"High...Low.41","COL5A1","BrM","High - Low",1.2563045286487,0.124399639077057,0.32226926063678
"High...Low.42","CP","BrM","High - Low",-1.056937682277,0.279763517028567,0.516413053534572
"High...Low.43","CPOX","BrM","High - Low",1.00411265284344,0.0237342452148514,0.122389270385467
"High...Low.44","CPT2","BrM","High - Low",0.978430329546477,0.0422823813867346,0.172081402630949
"High...Low.45","CST3","BrM","High - Low",1.7432500213736,0.000496332402829949,0.0104731377309065
"High...Low.46","CSTB","BrM","High - Low",1.50276292532979,0.0421306348304635,0.17182438688949
"High...Low.47","CYP1B1","BrM","High - Low",0.410198215498679,0.473889392858876,0.685879640605802
"High...Low.48","CYP2D6","BrM","High - Low",-1.06115459836132,0.0482233522002353,0.186160236556648
"High...Low.49","DDB2","BrM","High - Low",0.30163645295554,0.482348890012868,0.692224517050413
"High...Low.50","DLD","BrM","High - Low",0.34368172078822,0.24550762691901,0.479030569890345
"High...Low.51","SLC26A2","BrM","High - Low",0.96905612136936,0.203515587937579,0.430063124123573
"High...Low.52","TOR1A","BrM","High - Low",0.357140728193736,0.420756407301047,0.64277712438901
"High...Low.53","EMD","BrM","High - Low",0.989689684379017,0.000347127412648619,0.00789644309423444
"High...Low.54","EPHX1","BrM","High - Low",0.521460041964214,0.175818722197392,0.395705264405005
"High...Low.55","EPOR","BrM","High - Low",-0.94834594573257,0.159839225116129,0.374878584974793
"High...Low.56","ERCC5","BrM","High - Low",0.637888211032612,0.151304654335749,0.362712362489789
"High...Low.57","ESR1","BrM","High - Low",-0.888475650443024,0.167343547415275,0.384881029907658
"High...Low.58","EXT1","BrM","High - Low",-0.0393057188240664,0.922418714685691,0.960237950625257
"High...Low.59","F13A1","BrM","High - Low",1.40651477940123,0.0632729435475197,0.217130342450971
"High...Low.60","F5","BrM","High - Low",-0.249100117615723,0.755027501235761,0.870026628101328
"High...Low.61","FANCA","BrM","High - Low",0.19292271006219,0.647537406529842,0.806539202043491
"High...Low.62","FAH","BrM","High - Low",1.98259807006249,0.00167420295372661,0.0240473299000363
"High...Low.63","FECH","BrM","High - Low",0.592854752898147,0.192866583949276,0.416818759318941
"High...Low.64","FGFR2","BrM","High - Low",0.292038621058954,0.696759237714803,0.83584439019325
"High...Low.65","FH","BrM","High - Low",0.0579772811928938,0.85288987564798,0.921552420056802
"High...Low.66","FUCA1","BrM","High - Low",0.933448427645506,0.147892979614687,0.357159120457357
"High...Low.67","FUT6","BrM","High - Low",-0.885923579882068,0.229272577122774,0.460318138411744
"High...Low.68","GALC","BrM","High - Low",-0.100553171455699,0.7924062393265,0.89020829394709
"High...Low.69","GALK1","BrM","High - Low",1.09385800899107,0.0051106323038985,0.0492174089937629
"High...Low.70","GALT","BrM","High - Low",0.439981517088888,0.355384617321105,0.589256459671845
"High...Low.71","GBE1","BrM","High - Low",0.949973353733071,0.00375955345147127,0.0406461768053193
"High...Low.72","GCDH","BrM","High - Low",-0.567134082582598,0.0311137280250862,0.143043396342739
"High...Low.73","GCH1","BrM","High - Low",0.679210435366951,0.292056739967389,0.529121185203804
"High...Low.74","GHR","BrM","High - Low",-0.959118163646589,0.157987387070637,0.372528404267182
"High...Low.75","GIPR","BrM","High - Low",0.384998652380648,0.562182166122152,0.748898162640345
"High...Low.76","GJA1","BrM","High - Low",-0.56949377443008,0.520389996767452,0.720084942630899
"High...Low.77","GJB1","BrM","High - Low",-0.652098853448322,0.477055666376059,0.688255003877597
"High...Low.78","GK","BrM","High - Low",-0.0756576959527041,0.80086517275136,0.894182263909938
"High...Low.79","GLI3","BrM","High - Low",0.986119368838388,0.219782546049829,0.449324971475171
"High...Low.80","GLDC","BrM","High - Low",-0.611773696958424,0.370406676247668,0.601996909933188
"High...Low.81","GP9","BrM","High - Low",-0.488456032640116,0.454903130167349,0.672298917101502
"High...Low.82","GPI","BrM","High - Low",0.389975970481512,0.169799630622342,0.387322273569232
"High...Low.83","GSN","BrM","High - Low",0.529820250720001,0.324374577491542,0.56059300050731
"High...Low.84","GSS","BrM","High - Low",1.19072552566055,0.0275130389113185,0.133209277463559
"High...Low.85","MSH6","BrM","High - Low",1.29694767721397,0.001349780626827,0.0205701862410781
"High...Low.86","GUSB","BrM","High - Low",0.372772325620352,0.179505874979344,0.400588162539644
"High...Low.87","HADHA","BrM","High - Low",-0.188254847993047,0.316045714990902,0.551951353661827
