"","Protein","Subset","Contrast","log2FC","Pr(>|t|)","FDR"
"High...Low","Rt IgG2a","BrM","High - Low",0.163285835220363,0.112125954064258,0.257988920855814
"High...Low.1","Rb IgG","BrM","High - Low",0.0184327710771653,0.716942289016416,0.809672197632785
"High...Low.2","Ms IgG1","BrM","High - Low",0.0777277926692043,0.335351086344616,0.495405013918182
"High...Low.3","Ms IgG2b","BrM","High - Low",0.165715686598549,0.0706015619203425,0.195839390715503
"High...Low.4","Hmr IgG","BrM","High - Low",-0.382733691992609,0.000698681002088886,0.00789813306709176
"High...Low.5","C Reactive Protein","BrM","High - Low",0.349254661729793,0.427995334941343,0.58638909908555
"High...Low.6","HLA B7","BrM","High - Low",0.289314251996015,0.585874659154739,0.70990360634574
"High...Low.7","Rb (phospho S807)","BrM","High - Low",1.80942883055737,0.00103656904241782,0.00998177596402346
"High...Low.8","Beclin 1","BrM","High - Low",0.485845243431214,0.111201148925742,0.257988920855814
"High...Low.9","Rb (phospho T373)","BrM","High - Low",1.3698073097131,0.00441805621679972,0.0255265470303984
"High...Low.10","Cytokeratin 5","BrM","High - Low",0.26702440012557,0.879172089016591,0.926913734701507
"High...Low.11","TRAF1","BrM","High - Low",0.568116850180512,0.579467437282126,0.70990360634574
"High...Low.12","ErbB3 / HER3","BrM","High - Low",0.663719988518964,0.0385289294327504,0.128429764775835
"High...Low.13","PTCH2","BrM","High - Low",0.230967909732162,0.605616223356088,0.718996429555173
"High...Low.14","CDK1 (phospho T161) + CDK2 / CDK3 (phospho T160)","BrM","High - Low",1.52559777189742,0.527214187011904,0.675249697650715
"High...Low.15","CXCR5","BrM","High - Low",0.791585379122429,0.0358530239200632,0.122655081831795
"High...Low.16","Rb (phospho T780)","BrM","High - Low",1.69956111241609,0.0541568145726824,0.163729904522063
"High...Low.17","Scavenging Receptor SR-BI","BrM","High - Low",0.679254499042289,0.0617694411599532,0.178445052239865
"High...Low.18","AKT3 + AKT2 + AKT1","BrM","High - Low",1.05698179156134,0.11021085186554,0.257988920855814
"High...Low.19","Hsp70","BrM","High - Low",1.17408490586517,0.275729118035379,0.442834928316447
"High...Low.20","Collagen I","BrM","High - Low",0.377808881700379,0.584920170054887,0.70990360634574
"High...Low.21","TAP2","BrM","High - Low",1.4911671376801,0.0890704039538089,0.22606347168705
"High...Low.22","IRF5","BrM","High - Low",0.798365999419464,0.00118954599961981,0.0106648951690052
"High...Low.23","S100A4","BrM","High - Low",0.285467669853894,0.881435462766758,0.926913734701507
"High...Low.24","cIAP2","BrM","High - Low",0.66676142028157,0.0118452944388453,0.0521996026118608
"High...Low.25","STAT1","BrM","High - Low",0.927676357704691,0.0173757305508592,0.0645384277603343
"High...Low.26","DUSP6","BrM","High - Low",0.39051267068703,0.0421839943143304,0.138833399009189
"High...Low.27","IRF4","BrM","High - Low",0.512373105761292,0.126469097233624,0.276319035972624
"High...Low.28","Fos B","BrM","High - Low",0.613800246468591,0.00666756649033081,0.0361159851559586
"High...Low.29","PTEN (phospho T366)","BrM","High - Low",0.345462870745734,0.130970931407532,0.276790265384218
"High...Low.30","CD94","BrM","High - Low",0.611257935619799,0.00416750009189253,0.0247507246365437
"High...Low.31","CD79a","BrM","High - Low",0.632569676391249,0.0189064063760868,0.0692347275744025
"High...Low.32","C5 / C5b","BrM","High - Low",0.454696380382611,0.0708034720279127,0.195839390715503
"High...Low.33","ERK1 (phospho T202) + ERK2 (phospho T185)","BrM","High - Low",0.852087974790317,0.00784036140819009,0.0382584959191842
"High...Low.34","Galectin 3","BrM","High - Low",0.860257215562619,0.00305510850076786,0.0203673900051191
"High...Low.35","CD272/BTLA","BrM","High - Low",0.300678389216916,0.188859703745618,0.358419875721611
"High...Low.36","Transferrin Receptor","BrM","High - Low",0.71730752924883,0.361343366604295,0.519056769707826
