"","Gene","Subset","Contrast","log2FC","Pr(>|t|)","FDR"
"High...Low","A2M","Glioma","High - Low",0.503113117498171,0.126755257766944,0.200450887101493
"High...Low.1","ACADM","Glioma","High - Low",0.214856709488508,0.308494157006551,0.404387074966841
"High...Low.2","ACADS","Glioma","High - Low",0.812946091148289,0.0920162405539747,0.15592472383884
"High...Low.3","ACAT1","Glioma","High - Low",0.58178360363191,0.00657514236303858,0.0233446079451267
"High...Low.4","PSEN1","Glioma","High - Low",0.103989463269576,0.598459901213848,0.679285189536592
"High...Low.5","ADA","Glioma","High - Low",0.831573223069211,0.0974610457154811,0.163086892344857
"High...Low.6","AGL","Glioma","High - Low",1.33121183330235,0.0126437645697046,0.0359453561279718
"High...Low.7","ABCD1","Glioma","High - Low",0.88184238858757,0.154387580575674,0.234029981483893
"High...Low.8","APC","Glioma","High - Low",0.302772787278606,0.343517325910184,0.439688745402537
"High...Low.9","APOE","Glioma","High - Low",0.023532051642136,0.957411820813771,0.970292672446294
"High...Low.10","ARSB","Glioma","High - Low",1.09687693186899,0.011557763552338,0.0339093336218495
"High...Low.11","ASL","Glioma","High - Low",2.6146059016968,8.62380332491073e-05,0.00187574884944155
"High...Low.12","ASPA","Glioma","High - Low",-0.733059136449978,0.206873801262873,0.293764836106285
"High...Low.13","ASS1","Glioma","High - Low",0.334926590357604,0.277909704704052,0.372004669126442
"High...Low.14","ATM","Glioma","High - Low",0.781802436790772,0.0527556791358074,0.101978688706259
"High...Low.15","ATP7A","Glioma","High - Low",1.25586381171528,0.0137347076693778,0.0379868897240861
"High...Low.16","ATP7B","Glioma","High - Low",0.979401384465023,0.0909136965954938,0.154520241851168
"High...Low.17","BLM","Glioma","High - Low",1.79028320358085,0.0243444364735758,0.05744567510993
"High...Low.18","BTD","Glioma","High - Low",0.824597659667146,0.101834154256107,0.168872393088838
"High...Low.19","BTK","Glioma","High - Low",-0.365456675104657,0.32792198328536,0.423787055777586
"High...Low.20","SERPING1","Glioma","High - Low",0.573300433077999,0.398662311294661,0.494977734681861
"High...Low.21","C2","Glioma","High - Low",0.0932173599761153,0.871142158840897,0.906231463244833
