Protein,Subset,Contrast,log2FC,Pr(>|t|),FDR
Rt IgG2a,BrM,High - Low,0.160392037,4.43E-06,3.11E-05
Rb IgG,BrM,High - Low,0.108003086,0.033715754,0.049525967
Ms IgG1,BrM,High - Low,0.16635678,0.030782409,0.046262579
Ms IgG2b,BrM,High - Low,0.210391884,0.003291918,0.007073543
Hmr IgG,BrM,High - Low,-0.488898992,1.93E-06,1.52E-05
C Reactive Protein,BrM,High - Low,0.988672841,0.002914739,0.006589845
HLA B7,BrM,High - Low,0.707467551,0.132021656,0.165824303
Rb (phospho S807),BrM,High - Low,1.36696729,0.000918061,0.002411068
Beclin 1,BrM,High - Low,0.195470834,0.50775395,0.554689189
Rb (phospho T373),BrM,High - Low,1.120834956,0.004559789,0.009409088
Cytokeratin 5,BrM,High - Low,1.754527439,1.47E-07,2.12E-06
TRAF1,BrM,High - Low,0.513524661,0.072144971,0.097190116
ErbB3 / HER3,BrM,High - Low,0.418853528,0.16934541,0.20574676
PTCH2,BrM,High - Low,0.425641165,0.296979021,0.347813268
CDK1 (phospho T161) + CDK2 / CDK3 (phospho T160),BrM,High - Low,1.475721699,5.78E-06,3.76E-05
CXCR5,BrM,High - Low,0.668109962,0.008138544,0.014901559
Rb (phospho T780),BrM,High - Low,1.650115724,6.65E-05,0.00029269
Scavenging Receptor SR-BI,BrM,High - Low,0.537201151,0.084418605,0.111415417
AKT3 + AKT2 + AKT1,BrM,High - Low,1.102170484,0.000202297,0.000701297
Hsp70,BrM,High - Low,2.212400195,3.04E-12,7.91E-10
Collagen I,BrM,High - Low,1.234814055,0.034753926,0.050480563
TAP2,BrM,High - Low,0.886375479,0.0052031,0.010568797
IRF5,BrM,High - Low,0.685381332,0.003087101,0.006744927
S100A4,BrM,High - Low,0.108623341,0.742835872,0.769471421
cIAP2,BrM,High - Low,0.588011158,0.007865975,0.014504635
STAT1,BrM,High - Low,1.097949758,0.002582033,0.005994005
DUSP6,BrM,High - Low,0.38263563,0.040457461,0.057796372
IRF4,BrM,High - Low,0.52443817,0.071327182,0.096588892
Fos B,BrM,High - Low,0.585407663,0.002955347,0.006624054
PTEN (phospho T366),BrM,High - Low,0.281554202,0.152305359,0.18856854
CD94,BrM,High - Low,0.573235476,0.002855261,0.006511998
CD79a,BrM,High - Low,0.539786381,0.025920367,0.039642914
C5 / C5b,BrM,High - Low,0.358464301,0.09347666,0.121519657
ERK1 (phospho T202) + ERK2 (phospho T185),BrM,High - Low,0.675818887,0.008638972,0.015598145
Galectin 3,BrM,High - Low,0.729746549,0.008507301,0.01546782
CD272/BTLA,BrM,High - Low,0.260884084,0.186499991,0.225534873
Transferrin Receptor,BrM,High - Low,-0.018795768,0.95867235,0.969863078
Bcl6,BrM,High - Low,-0.437001826,0.246795305,0.292998992
ASS1,BrM,High - Low,0.997403091,6.88E-06,4.26E-05
ISG15,BrM,High - Low,0.889877043,0.015593757,0.025499225
Indoleamine 2_3-dioxygenase,BrM,High - Low,0.772769021,0.015471845,0.025459998
p27 KIP 1 (phospho S10),BrM,High - Low,0.702796439,0.000447392,0.00135258
LDL Receptor,BrM,High - Low,0.230873512,0.300999577,0.350941211
ERK1 (phospho T202 + Y204) + ERK2 (phospho T185 + Y187),BrM,High - Low,2.12694925,5.20E-06,3.56E-05
Integrin alpha 6,BrM,High - Low,0.674861635,0.002507812,0.005874155
CREB (phospho S133),BrM,High - Low,0.232671988,0.361856214,0.412643051
PDGF B,BrM,High - Low,0.517591639,0.015849599,0.025595626
Syk (phospho Y323),BrM,High - Low,0.53369217,0.015330245,0.025459998
Integrin alpha 5,BrM,High - Low,0.517888041,0.09059179,0.118361132
STAT5b,BrM,High - Low,0.584963844,0.021073753,0.032809436
CPT1A,BrM,High - Low,1.4998085,1.59E-05,8.79E-05
Cdk2,BrM,High - Low,1.11675481,0.000199407,0.000700619
HLA E,BrM,High - Low,1.14091504,0.006538043,0.012318051
CCR6,BrM,High - Low,0.61595575,0.03315033,0.048972079
Insulin Receptor beta,BrM,High - Low,0.713762173,0.014527749,0.024850097
ROCK1,BrM,High - Low,0.554182285,0.039567192,0.057152611
GSK3 beta (phospho S9),BrM,High - Low,2.309997068,0.000112857,0.000451428
S6K1,BrM,High - Low,0.447403918,0.015094903,0.025320483
CD44,BrM,High - Low,0.148318069,0.583060402,0.626271169
beta 2 Microglobulin,BrM,High - Low,0.689933414,0.081525205,0.108700274
IMP3,BrM,High - Low,0.751617904,0.000169507,0.000629596
IGF1 Receptor,BrM,High - Low,0.607323912,0.00069892,0.001912834
TLR9,BrM,High - Low,0.73978194,0.001269017,0.003172542
MX1,BrM,High - Low,-0.317042845,0.537423411,0.584644715
gamma H2A.X (phospho S139),BrM,High - Low,0.400464662,0.055020511,0.075775484
NSD3,BrM,High - Low,0.173595961,0.392880993,0.44412634
TNFAIP3,BrM,High - Low,0.736385042,0.005613142,0.010973059
STAT2,BrM,High - Low,0.521962194,0.030961867,0.046264859
FABP4,BrM,High - Low,0.604606151,0.016901535,0.026795117
Somatostatin Receptor 2,BrM,High - Low,0.3168792,0.15409097,0.189875128
ETS1,BrM,High - Low,0.687823144,0.000255426,0.000873824
KMT6/EZH2 (phospho T487),BrM,High - Low,1.060097855,0.00233079,0.005559682
EGFR,BrM,High - Low,0.08933487,0.704966864,0.736109978
Bad,BrM,High - Low,0.507397206,0.028532995,0.043383502
Cytokeratin 14,BrM,High - Low,0.36237587,0.24973824,0.295145192
Histone H3 (acetyl K27),BrM,High - Low,1.401046783,3.46E-06,2.57E-05
HMGB2,BrM,High - Low,1.822678251,1.46E-09,5.42E-08
Histone H2A.X,BrM,High - Low,1.249909787,1.35E-05,7.65E-05
Hsp27 (phospho S78),BrM,High - Low,4.117529696,1.79E-09,5.83E-08
CD74,BrM,High - Low,0.723926165,0.010700106,0.018925358
MyD88,BrM,High - Low,0.597223823,0.002994181,0.006653735
Brd4,BrM,High - Low,0.889803133,7.41E-05,0.000305809
FANCI,BrM,High - Low,1.107876788,0.000102463,0.000416257
PI 3 Kinase p85 alpha,BrM,High - Low,0.102110308,0.637925398,0.674230095
SOD2/MnSOD (acetyl K68),BrM,High - Low,0.386292564,0.235847272,0.282581984
MLH1,BrM,High - Low,1.143783273,6.87E-05,0.00029269
NKG2D,BrM,High - Low,0.968117095,1.78E-05,9.40E-05
Ki67,BrM,High - Low,0.532325862,0.085745618,0.112595256
Src,BrM,High - Low,0.738686014,0.024447754,0.037835809
Cathepsin S,BrM,High - Low,0.345933545,0.406354241,0.455396994
CD64,BrM,High - Low,0.491850792,0.127059969,0.161149229
MMP9,BrM,High - Low,0.210553371,0.437159825,0.48678681
Smad2,BrM,High - Low,0.631190262,0.005569148,0.01097268
TLR7,BrM,High - Low,1.32674956,1.88E-05,9.40E-05
STAT1 (phospho S727),BrM,High - Low,1.824249158,9.78E-07,9.78E-06
CDK1,BrM,High - Low,0.860505055,0.002259842,0.00544036
KIR3DL1 + KIR3DS1,BrM,High - Low,0.528067347,0.004103564,0.008535414
ErbB4 / HER4+ErbB2 / HER2,BrM,High - Low,1.083621847,4.90E-08,9.10E-07
ATG7,BrM,High - Low,0.631360031,0.001222295,0.003085404
Integrin beta 1,BrM,High - Low,0.373361544,0.333546662,0.383726249
Sonic Hedgehog,BrM,High - Low,0.555720827,0.045735691,0.06462652
Dnmt1,BrM,High - Low,1.517059119,8.03E-07,8.35E-06
ATM (phospho S1981),BrM,High - Low,1.500276369,1.67E-06,1.40E-05
Nanog,BrM,High - Low,1.316439868,3.65E-06,2.64E-05
HLA-C,BrM,High - Low,0.893479583,0.034704411,0.050480563
Hexokinase II,BrM,High - Low,1.160510749,2.32E-05,0.000111701
c-Jun,BrM,High - Low,0.572264488,0.011778112,0.020499336
Aldolase,BrM,High - Low,0.635931236,0.005570745,0.01097268
Histone H3 (phospho S28),BrM,High - Low,1.457224518,0.000297814,0.000955945
SFRP4,BrM,High - Low,1.568003406,1.26E-05,7.29E-05
Granzyme A,BrM,High - Low,0.646311801,0.00108548,0.002794305
mTOR (phospho S2448),BrM,High - Low,0.811911934,0.000312177,0.000989831
Cytokeratin 17,BrM,High - Low,0.607861544,0.006210121,0.01187229
HLA-DR,BrM,High - Low,1.083079219,0.044036441,0.062565436
ST2,BrM,High - Low,0.665543257,0.000477565,0.001427205
SHP1,BrM,High - Low,0.163175655,0.682122388,0.71512831
LAG-3,BrM,High - Low,0.6087639,0.002745767,0.006317694
Smad3,BrM,High - Low,0.158845481,0.574972267,0.620302031
CD68,BrM,High - Low,0.64793631,0.156391338,0.191800697
S100 beta,BrM,High - Low,0.658148806,0.306146939,0.355349125
iNOS,BrM,High - Low,0.174033729,0.500305536,0.548858394
HDAC9,BrM,High - Low,0.820412825,0.014892938,0.02530826
HMGB1,BrM,High - Low,0.47398886,0.126379291,0.161149229
p38 beta/MAPK11 + p38 alpha/MAPK14,BrM,High - Low,0.693402555,0.000821431,0.002201774
Pan Trk,BrM,High - Low,0.797926755,0.000696497,0.001912834
c-Myc,BrM,High - Low,0.597841978,0.004022777,0.008434855
FADD,BrM,High - Low,1.694590022,1.44E-10,1.88E-08
p53 (acetyl K373),BrM,High - Low,1.658566776,6.05E-07,7.49E-06
CD20,BrM,High - Low,1.059115877,0.000140741,0.000538126
CXCL5 + CXCL6,BrM,High - Low,1.364014076,1.10E-06,1.05E-05
Histone H2A (phospho T120),BrM,High - Low,0.883033314,0.011335821,0.019914279
PAK1+PAK2+PAK3 (phospho S141 + S144 + S154),BrM,High - Low,1.286492623,7.26E-06,4.39E-05
SMAD5,BrM,High - Low,0.82847809,0.001221354,0.003085404
MEK1,BrM,High - Low,0.884078442,6.79E-05,0.00029269
Caspase-3 p12,BrM,High - Low,1.452526999,1.22E-07,1.87E-06
S100P,BrM,High - Low,1.495689149,2.36E-05,0.000111701
BTK,BrM,High - Low,0.853161966,0.000272664,0.000900242
CD90 / Thy1,BrM,High - Low,0.321228045,0.540643919,0.585697579
p38 (phospho T180),BrM,High - Low,0.77358099,0.000286531,0.000931226
KIR2DL3,BrM,High - Low,0.530049877,0.158775783,0.193810815
ERK2,BrM,High - Low,0.881197536,0.002418034,0.005715354
RSK1 p90 (phospho T359),BrM,High - Low,1.927511867,1.92E-06,1.52E-05
IL4,BrM,High - Low,0.470661091,0.032669408,0.048537407
RPS6 (phospho S235 + S236),BrM,High - Low,1.296312944,0.001790472,0.004391723
Neutrophil Elastase,BrM,High - Low,0.919483006,0.00019375,0.000690069
Adenosine Receptor A2a,BrM,High - Low,0.910709156,0.000358684,0.001098847
MMP14,BrM,High - Low,0.634528894,0.01182654,0.020499336
ERK1,BrM,High - Low,1.302434536,0.000175291,0.000632995
NAK/TBK1,BrM,High - Low,0.820672726,0.000332778,0.001042437
HDAC3,BrM,High - Low,1.348297182,1.98E-08,5.15E-07
VEGF Receptor 2,BrM,High - Low,0.100685529,0.658880736,0.69355867
LYVE1,BrM,High - Low,0.396333362,0.001995334,0.004848475
PCNA,BrM,High - Low,1.024847514,0.000359238,0.001098847
Heme Oxygenase 1,BrM,High - Low,-0.43824842,0.206289971,0.248312002
NFkB p105 / p50,BrM,High - Low,1.027795919,0.000273535,0.000900242
ALDH1A1,BrM,High - Low,1.223391785,0.000550295,0.00158974
Monoamine Oxidase A/MAO-A,BrM,High - Low,0.625877973,0.100310247,0.129754549
Retinoic Acid Receptor beta,BrM,High - Low,0.976038494,0.015809234,0.025595626
PKC beta 1,BrM,High - Low,1.296308551,7.07E-07,8.00E-06
PAK1,BrM,High - Low,0.702882137,0.00645599,0.012252244
SOD2/MnSOD,BrM,High - Low,0.069356915,0.875705338,0.889388233
AIF,BrM,High - Low,-0.007749138,0.974013314,0.974013314
IFIT1,BrM,High - Low,1.214753572,4.06E-05,0.000188303
ATM,BrM,High - Low,0.508982215,0.007691079,0.014283433
IGF2BP1/IMP1,BrM,High - Low,0.776844322,0.005399618,0.01082123
Catalase,BrM,High - Low,0.252176754,0.482666035,0.531750716
Bak,BrM,High - Low,0.84684996,0.015427826,0.025459998
TRAF2,BrM,High - Low,0.649338301,0.005966085,0.011490238
Cleaved PARP1,BrM,High - Low,0.542007782,0.024949385,0.038383669
Histone H3 (acetyl K9),BrM,High - Low,1.603224841,1.82E-05,9.40E-05
HLA G,BrM,High - Low,0.791426574,0.001383856,0.00342669
DR5,BrM,High - Low,0.673001098,0.005410615,0.01082123
Carbonic Anhydrase 9/CA9,BrM,High - Low,0.975381452,0.006729849,0.012588207
PDGFR alpha + PDGFR beta,BrM,High - Low,0.82665615,0.005188669,0.010568797
FAK,BrM,High - Low,0.011759684,0.973881169,0.974013314
IL-12A,BrM,High - Low,0.481199565,0.052305326,0.072723982
MSH2,BrM,High - Low,1.876038274,6.62E-07,7.82E-06
IRF3,BrM,High - Low,1.278417813,1.17E-06,1.05E-05
HLA-DPB1,BrM,High - Low,0.075676415,0.85428445,0.874464398
CCR3,BrM,High - Low,-0.343067172,0.327960175,0.378976202
Bcl-XL,BrM,High - Low,0.772343791,0.000174631,0.000632995
ATR (phospho S428),BrM,High - Low,0.900324529,0.000263228,0.000888823
ARID3A,BrM,High - Low,-0.25666267,0.389818103,0.442588239
pan Cytokeratin,BrM,High - Low,1.814162349,0.000650091,0.001817458
CD14,BrM,High - Low,0.122594559,0.728051347,0.757173401
MEKK3,BrM,High - Low,1.927022867,4.53E-07,5.89E-06
