Gene,Subset,Contrast,log2FC,Pr(>|t|),FDR
A2M,Glioma,High - Low,0.474247993,0.192415494,0.284409128
ACADM,Glioma,High - Low,0.078324146,0.709478855,0.780868077
ACADS,Glioma,High - Low,0.721516363,0.133007243,0.212918918
ACAT1,Glioma,High - Low,0.65090995,0.001808215,0.011351756
PSEN1,Glioma,High - Low,0.08889045,0.655787848,0.736624828
ADA,Glioma,High - Low,0.997986115,0.026314739,0.064021972
AGL,Glioma,High - Low,1.251115173,0.024350027,0.060599676
ABCD1,Glioma,High - Low,0.966768711,0.108713174,0.18241466
APC,Glioma,High - Low,0.342303846,0.283009348,0.38562243
APOE,Glioma,High - Low,0.354861343,0.40025294,0.503981791
ARSB,Glioma,High - Low,0.850114683,0.038453598,0.083868815
ASL,Glioma,High - Low,2.848583379,3.61E-05,0.001512467
ASPA,Glioma,High - Low,-0.150537233,0.817907456,0.866342716
ASS1,Glioma,High - Low,0.13534955,0.668428099,0.747136023
ATM,Glioma,High - Low,0.918786686,0.012944249,0.039330195
ATP7A,Glioma,High - Low,1.209010937,0.024188256,0.060300234
ATP7B,Glioma,High - Low,1.240652613,0.031046812,0.072216047
BLM,Glioma,High - Low,1.778439574,0.026727506,0.064672562
BTD,Glioma,High - Low,1.043068612,0.056051931,0.110292746
BTK,Glioma,High - Low,-0.407291175,0.388327973,0.493102333
SERPING1,Glioma,High - Low,0.355924512,0.582241099,0.671832441
C2,Glioma,High - Low,0.145635068,0.807409544,0.85881882
C3,Glioma,High - Low,0.127385616,0.811767892,0.86186158
CA2,Glioma,High - Low,0.486577074,0.379061051,0.483633438
CACNA1S,Glioma,High - Low,0.294895024,0.590765496,0.679214317
CBS,Glioma,High - Low,0.575670238,0.110505632,0.184712146
CD40LG,Glioma,High - Low,-0.088821931,0.825984175,0.87193508
CDK4,Glioma,High - Low,2.25622183,0.002638273,0.014244498
CDKN1C,Glioma,High - Low,-0.118439014,0.821634257,0.86895455
LYST,Glioma,High - Low,0.831597996,0.009126749,0.03134746
ERCC8,Glioma,High - Low,1.571713687,0.000526487,0.00568194
CLN3,Glioma,High - Low,0.577116273,0.0054152,0.022160736
COL1A1,Glioma,High - Low,-0.3618452,0.742131043,0.806485063
COL1A2,Glioma,High - Low,0.057389598,0.955795493,0.968218986
COL5A1,Glioma,High - Low,0.052376296,0.950790381,0.965239859
CP,Glioma,High - Low,0.514325467,0.523052575,0.619253763
CPOX,Glioma,High - Low,0.282371966,0.611742611,0.697695645
CPT2,Glioma,High - Low,1.168279352,0.001659905,0.010753652
CST3,Glioma,High - Low,0.479089416,0.290223536,0.393079214
CSTB,Glioma,High - Low,0.328598746,0.30860281,0.412594363
CYP1B1,Glioma,High - Low,-0.581858833,0.395665716,0.499947039
CYP2D6,Glioma,High - Low,-0.386800471,0.257793321,0.358539191
