"","Protein","Subset","Contrast","log2FC","Pr(>|t|)","FDR"
"High...Low","Rt IgG2a","Glioma","High - Low",0.0177495890099096,0.680279693542589,0.925267058789595
"High...Low.1","Rb IgG","Glioma","High - Low",0.122641288223149,0.0855568481760817,0.423854720085207
"High...Low.2","Ms IgG1","Glioma","High - Low",0.0239771673803198,0.667954130566197,0.925267058789595
"High...Low.3","Ms IgG2b","Glioma","High - Low",0.0550885207745117,0.242873199705495,0.702506852773279
"High...Low.4","Hmr IgG","Glioma","High - Low",-0.21409679748806,0.0906994682389635,0.431470327479641
"High...Low.5","CD38","Glioma","High - Low",0.0888930168434296,0.83836137089975,0.946353683083446
"High...Low.6","CD99","Glioma","High - Low",0.279359844162762,0.466030045251,0.856142930969841
"High...Low.7","ErbB2 / HER2 (phospho Y877)","Glioma","High - Low",0.528612783237493,0.104512414484551,0.446187615684045
"High...Low.8","MX1","Glioma","High - Low",1.02898561703086,0.0931123880138731,0.434175429176716
"High...Low.9","beta Actin","Glioma","High - Low",0.332909877808271,0.250714503066866,0.71357204719031
"High...Low.10","EGFR (phospho Y1068)","Glioma","High - Low",0.615219592906258,0.136611890919561,0.511624688504063
"High...Low.11","HMGB2","Glioma","High - Low",0.955594098735313,0.000127654929837241,0.0132602709161739
"High...Low.12","HLA E","Glioma","High - Low",0.328115946462996,0.471881549741576,0.856142930969841
"High...Low.13","Cytokeratin 5","Glioma","High - Low",0.110387975210469,0.630142608310707,0.925267058789595
"High...Low.14","Glucocorticoid Receptor (phospho S226)","Glioma","High - Low",0.528833074851627,0.0210229285820221,0.215796012258121
"High...Low.15","Tissue Factor","Glioma","High - Low",-0.400585430686459,0.367314951257258,0.808610130914368
"High...Low.16","C Reactive Protein","Glioma","High - Low",-0.0561234181153513,0.835705452521594,0.946353683083446
"High...Low.17","PARP1","Glioma","High - Low",0.625671817100913,0.0018325375395197,0.0508529167216715
"High...Low.18","TIM 3","Glioma","High - Low",0.452032176217514,0.0481449291882566,0.341111945099775
"High...Low.19","Rel B","Glioma","High - Low",-0.309328348619033,0.25448094573166,0.715714805196075
"High...Low.20","Galectin 3","Glioma","High - Low",0.155225970914103,0.424092198993128,0.844614151624633
"High...Low.21","p53 (phospho S392)","Glioma","High - Low",0.415590340750549,0.25832976590559,0.715714805196075
"High...Low.22","beta 2 Microglobulin","Glioma","High - Low",0.191069248764313,0.677373783067793,0.925267058789595
"High...Low.23","p53 (phospho S46)","Glioma","High - Low",-0.312876178489912,0.331102763342495,0.77672380186842
"High...Low.24","BRAF","Glioma","High - Low",0.104617081500431,0.718864314805753,0.925267058789595
"High...Low.25","Cathepsin S","Glioma","High - Low",0.319743949722466,0.233002018248959,0.702506852773279
"High...Low.26","CD74","Glioma","High - Low",0.422276002647871,0.204558722319034,0.661340335264449
"High...Low.27","IL-1 alpha","Glioma","High - Low",0.0881137968207709,0.706143836211558,0.925267058789595
"High...Low.28","Rb (phospho T373)","Glioma","High - Low",0.0470073086267003,0.855584567384064,0.95192212335207
"High...Low.29","BRG1","Glioma","High - Low",-0.145304354525213,0.685432355440667,0.925267058789595
"High...Low.30","Rb (phospho S807)","Glioma","High - Low",0.412631246426539,0.0553180601980944,0.365617990705792
"High...Low.31","PI 3 Kinase catalytic subunit gamma/PI3K-gamma","Glioma","High - Low",0.0792195709660987,0.735592612868391,0.925267058789595
"High...Low.32","STAT5 (phospho Y694)","Glioma","High - Low",0.42417441693058,0.0601581582582716,0.367090546370931
"High...Low.33","TAP2","Glioma","High - Low",0.546782652798479,0.116391807950599,0.468012171464171
"High...Low.34","CXCR5","Glioma","High - Low",0.335996942076529,0.315295087487627,0.766374190754598
"High...Low.35","PTGES2/Gbf1","Glioma","High - Low",-0.0686492328506483,0.727376587269276,0.925267058789595
"High...Low.36","STAT1","Glioma","High - Low",0.370907044647983,0.371449810011668,0.808610130914368
"High...Low.37","TMPRSS2","Glioma","High - Low",-0.142254280704192,0.671109914161256,0.925267058789595
"High...Low.38","VEGFA","Glioma","High - Low",0.0366188469994637,0.805788129276224,0.925267058789595
"High...Low.39","IRF5","Glioma","High - Low",0.0864388431861924,0.666807122744299,0.925267058789595
"High...Low.40","E Cadherin","Glioma","High - Low",0.226246440457807,0.146102438145534,0.52882730328764
"High...Low.41","Aurora A","Glioma","High - Low",0.0969943094069367,0.598481994529006,0.914194973294307
"High...Low.42","COX2 / Cyclooxygenase 2","Glioma","High - Low",-0.193923768437267,0.370963525127043,0.808610130914368
"High...Low.43","Cyclin E1","Glioma","High - Low",-0.00343768326058506,0.989088401406423,0.991732737417414
"High...Low.44","YAP1 (phospho S127)","Glioma","High - Low",-0.168299039553815,0.376672793165261,0.809238968542141
"High...Low.45","CD79a","Glioma","High - Low",0.0804896201386106,0.594132846607435,0.91173381530081
"High...Low.46","ISG15","Glioma","High - Low",0.966494243511279,0.0562732868806227,0.365617990705792
"High...Low.47","Ras","Glioma","High - Low",0.236328125042631,0.333548059060613,0.77672380186842
"High...Low.48","15-PGDH","Glioma","High - Low",0.0127016859775683,0.948112560612937,0.982665539201889
"High...Low.49","Rb (phospho T780)","Glioma","High - Low",-0.180835437659571,0.751783707847242,0.925267058789595
"High...Low.50","p63","Glioma","High - Low",-0.0664466456398376,0.801465580021047,0.925267058789595
"High...Low.51","SIRT2","Glioma","High - Low",-0.527574740332893,0.276756974194927,0.721888559002302
"High...Low.52","CCR5","Glioma","High - Low",0.0593444500568576,0.759878843328114,0.925267058789595
"High...Low.53","Integrin beta 1","Glioma","High - Low",-0.10284192023564,0.582822885852761,0.91173381530081
"High...Low.54","MEK1 (phospho S298)","Glioma","High - Low",0.50565469574769,0.283986189877782,0.721888559002302
"High...Low.55","PRAS40","Glioma","High - Low",-0.0599130077177362,0.796713924871369,0.925267058789595
"High...Low.56","Smad3 (phospho S423 + S425)","Glioma","High - Low",0.2803191543014,0.200212927311373,0.65363632151654
"High...Low.57","STING","Glioma","High - Low",-0.0178532330997229,0.939906259949484,0.982665539201889
"High...Low.58","CD3D","Glioma","High - Low",0.270549522785035,0.273050202568678,0.721888559002302
"High...Low.59","Cytokeratin 8","Glioma","High - Low",-0.0987030319497558,0.58213765850294,0.91173381530081
"High...Low.60","Macrophage Inflammatory Protein 3 alpha","Glioma","High - Low",0.231350285523674,0.0800436346537091,0.41647703655758
"High...Low.61","ATG12","Glioma","High - Low",0.00185925883597939,0.991732737417414,0.991732737417414
"High...Low.62","CSF-1-R","Glioma","High - Low",-0.123121680893531,0.461435464140108,0.855237815197528
"High...Low.63","CXCR6","Glioma","High - Low",0.235547805567739,0.0861200652840036,0.423854720085207
"High...Low.64","mTOR","Glioma","High - Low",-0.0265552969767266,0.9256113783995,0.975406927237448
"High...Low.65","15 Lipoxygenase 1","Glioma","High - Low",-0.139996814785538,0.519782854916206,0.892204591170601
"High...Low.66","CD11a","Glioma","High - Low",0.0550393831241357,0.705615092756785,0.925267058789595
"High...Low.67","Progesterone Receptor","Glioma","High - Low",-0.022771764220172,0.904904329784747,0.965811351981798
"High...Low.68","cIAP2","Glioma","High - Low",0.00943422993728909,0.957967838169665,0.982665539201889
"High...Low.69","CPT1A","Glioma","High - Low",0.174595993807507,0.322020070851088,0.771458155348291
"High...Low.70","Cdk2","Glioma","High - Low",0.210584677793338,0.21253275413748,0.667673652148877
"High...Low.71","C4a","Glioma","High - Low",-0.150450493852329,0.591514160691154,0.91173381530081
"High...Low.72","p27 KIP 1","Glioma","High - Low",-0.234452974847579,0.591018786689958,0.91173381530081
"High...Low.73","Fos B","Glioma","High - Low",0.099666645839568,0.534863741281551,0.90410977587186
"High...Low.74","IL-33","Glioma","High - Low",0.279786532915227,0.24408378860367,0.702506852773279
"High...Low.75","Hexokinase II","Glioma","High - Low",-0.042000716655498,0.801993313802737,0.925267058789595
"High...Low.76","CD28","Glioma","High - Low",-0.183268291128886,0.431431979216389,0.844614151624633
"High...Low.77","eNOS","Glioma","High - Low",0.0523096560038023,0.790826780511787,0.925267058789595
"High...Low.78","CD22","Glioma","High - Low",-0.0758462969576109,0.73691664627131,0.925267058789595
"High...Low.79","MMP3","Glioma","High - Low",-0.015253782522525,0.973683074700701,0.982665539201889
"High...Low.80","SCF","Glioma","High - Low",0.613299392455781,0.00338774601855384,0.0752079616118953
"High...Low.81","Cytokeratin 14","Glioma","High - Low",0.0542743049362757,0.74041606905779,0.925267058789595
"High...Low.82","IL-5RA","Glioma","High - Low",0.307705598998428,0.0317986503068426,0.294137515338294
"High...Low.83","ETS1","Glioma","High - Low",0.202504059110129,0.216419000111932,0.672153855929717
"High...Low.84","c-Kit","Glioma","High - Low",-0.142286940357904,0.518966411587308,0.892204591170601
"High...Low.85","Scavenging Receptor SR-BI","Glioma","High - Low",0.169324696312257,0.496225530650706,0.874302125432196
"High...Low.86","IMP3","Glioma","High - Low",0.45554960482136,0.0403256775822171,0.31972501511615
"High...Low.87","HLA-C","Glioma","High - Low",1.26242002531316,0.0586846706459464,0.367090546370931
"High...Low.88","CD11b","Glioma","High - Low",-0.124352623971132,0.459366416760947,0.855237815197528
"High...Low.89","S100P","Glioma","High - Low",0.261753742799969,0.143180955471282,0.526352621787696
"High...Low.90","CD79b","Glioma","High - Low",-0.676360365895307,0.0606305707219255,0.367090546370931
"High...Low.91","JNK1 + JNK2 + JNK3 (phospho T183+T183+T221)","Glioma","High - Low",0.0443379492516087,0.847356144438837,0.950065980128393
"High...Low.92","CREB (phospho S133)","Glioma","High - Low",0.142464171985625,0.517899279094505,0.892204591170601
"High...Low.93","Brd4","Glioma","High - Low",0.488118631621892,0.0213385329600443,0.215796012258121
"High...Low.94","c-Fos","Glioma","High - Low",0.203439193985684,0.114228559546595,0.468012171464171
"High...Low.95","LILRB3","Glioma","High - Low",0.328874846721918,0.100340058775303,0.441370306015631
"High...Low.96","NSD3","Glioma","High - Low",0.129912274576108,0.460008294627506,0.855237815197528
"High...Low.97","CD272/BTLA","Glioma","High - Low",-0.0122730773515696,0.949713323594919,0.982665539201889
"High...Low.98","AKT3 + AKT2 + AKT1","Glioma","High - Low",0.140997882642026,0.569157944806263,0.91173381530081
"High...Low.99","PCNA","Glioma","High - Low",0.276527560605838,0.148834543880928,0.532923689380099
"High...Low.100","C5 / C5b","Glioma","High - Low",-0.109074570443317,0.551042812800699,0.91173381530081
"High...Low.101","TAK1","Glioma","High - Low",0.0733819352533699,0.653442685510776,0.925267058789595
"High...Low.102","Histone H3 (acetyl K27)","Glioma","High - Low",0.310847900012235,0.0767769245560307,0.405820886939019
"High...Low.103","TBR2 / Eomes","Glioma","High - Low",0.292379263122534,0.031510173634536,0.294137515338294
"High...Low.104","IL-6R","Glioma","High - Low",0.160872885180975,0.26949457674887,0.721888559002302
"High...Low.105","PTEN (phospho T366)","Glioma","High - Low",-0.156290782318292,0.474168241881889,0.856142930969841
"High...Low.106","HLA-DR","Glioma","High - Low",0.0868043918905721,0.875031399015779,0.955651924824343
"High...Low.107","Integrin alpha 6","Glioma","High - Low",-0.050173794745821,0.778269657928009,0.925267058789595
"High...Low.108","AMPK alpha 1","Glioma","High - Low",0.0663440625052337,0.782613234556903,0.925267058789595
"High...Low.109","CD68","Glioma","High - Low",0.133332624936668,0.719837214341996,0.925267058789595
"High...Low.110","PRDM1/Blimp1","Glioma","High - Low",0.592811206565942,0.00512745532059305,0.0962257100833081
"High...Low.111","p27 KIP 1 (phospho S10)","Glioma","High - Low",0.191277271506315,0.301218876633334,0.74855138745448
"High...Low.112","Cytokeratin 8 (phospho S431)","Glioma","High - Low",-0.111447339979976,0.576150365003862,0.91173381530081
"High...Low.113","ErbB4 / HER4 (phospho Y1162)","Glioma","High - Low",0.927793312548323,0.0027593792263248,0.0664160013400389
"High...Low.114","ZAP70","Glioma","High - Low",0.052015716575612,0.821223861707383,0.933734076438864
"High...Low.115","CD11c","Glioma","High - Low",0.0725609008698943,0.733545776999879,0.925267058789595
"High...Low.116","Bcl6","Glioma","High - Low",-0.267733441387303,0.57005074996997,0.91173381530081
"High...Low.117","Insulin Receptor beta","Glioma","High - Low",0.602716200579212,0.00655585579689766,0.109154999018346
"High...Low.118","VEGF Receptor 2","Glioma","High - Low",0.126268631627913,0.609572152810788,0.923783456584658
"High...Low.119","Cullin 1/CUL-1","Glioma","High - Low",0.353642605718406,0.12772748865633,0.506348258601881
"High...Low.120","STAT4","Glioma","High - Low",0.0875937990598914,0.679977652062469,0.925267058789595
"High...Low.121","IKK alpha","Glioma","High - Low",0.224751007926882,0.318158979743077,0.767731451119164
"High...Low.122","Carbonic Anhydrase 3/CA3","Glioma","High - Low",0.14955930762643,0.492868125170386,0.873005774902865
"High...Low.123","CDK1","Glioma","High - Low",0.311186206647793,0.151733450951782,0.537523820924928
"High...Low.124","Syk (phospho Y323)","Glioma","High - Low",0.0308436351628731,0.869817105865415,0.955651924824343
"High...Low.125","LDL Receptor","Glioma","High - Low",-0.0120093824044056,0.953833763309946,0.982665539201889
"High...Low.126","Ki67","Glioma","High - Low",0.140714017612182,0.462290710917583,0.855237815197528
"High...Low.127","Histone H2B (acetyl K5)","Glioma","High - Low",0.424094723324422,0.0351724937990721,0.300318985515154
"High...Low.128","S6K1","Glioma","High - Low",0.00722591492462063,0.97011652133584,0.982665539201889
"High...Low.129","CD31","Glioma","High - Low",-0.0877695862706953,0.738899918032555,0.925267058789595
"High...Low.130","Ret","Glioma","High - Low",0.1610701861476,0.482921467967504,0.859961758466197
"High...Low.131","CD44","Glioma","High - Low",0.8702163385694,0.000159282533527615,0.0132602709161739
