"","Cell","Subset","Contrast","log2FC","Pr(>|t|)","FDR"
"High...Low","CD56","BrM","High - Low",0.88474070568163,0.0570567681859629,0.107773895462374
"High...Low.1","CD8","BrM","High - Low",1.18853429875305,0.180885224404251,0.279549892261115
"High...Low.2","CD4","BrM","High - Low",1.7088923714078,0.0340011138145447,0.0932477372398634
"High...Low.3","Foxp3","BrM","High - Low",1.1746295968965,0.0100517013535477,0.0341757846020622
"High...Low.4","GZMB","BrM","High - Low",0.301342798236618,0.676125324553594,0.718383157338193
"High...Low.5","CD16","BrM","High - Low",2.83967883373922,0.000174024621629447,0.0014792092838503
"High...Low.6","CD8+ GZMB - Cells","BrM","High - Low",0.515465903158903,0.568618486693815,0.644434284919657
"High...Low.7","CD8+ GZMB+ Cells","BrM","High - Low",0.536414511010802,0.347883873668807,0.454925065566901
"High...Low.8","CD8- CD4+ Cells","BrM","High - Low",1.05601292725513,0.0878433744667129,0.149333736593412
"High...Low.9","CD4+ FOXP3- Cells","BrM","High - Low",1.58617833065012,0.0438812881128769,0.0932477372398634
"High...Low.10","CD4+ FOXP3+ Cells","BrM","High - Low",0.846539920957149,0.0404164195781463,0.0932477372398634
"High...Low.11","CD8- CD16+ GZMB- Cells","BrM","High - Low",2.13459359744886,0.00064706593372021,0.00289511266217008
"High...Low.12","CD8- CD16+ GZMB+ Cells","BrM","High - Low",0.272573808780705,0.344925716550177,0.454925065566901
"High...Low.13","CD16+ CD56+ Cells","BrM","High - Low",0.0008929365813334,0.97298288415097,0.97298288415097
"High...Low.14","CD16+ CD56- Cells","BrM","High - Low",2.66916893870365,0.000149943702406177,0.0014792092838503
"High...Low.15","CD16+ CD56+ GZMB+ Cells","BrM","High - Low",0.102256174326013,0.396744199302338,0.481760813438553
"High...Low.16","CD16+ CD56- GZMB- Cells","BrM","High - Low",2.37611472904169,0.000681202979334136,0.00289511266217008
