"","Cell","Subset","Contrast","Estimate","Pr(>|t|)","FDR"
"High...Low","CD56","BrM","High - Low",2.20270457784271,0.33807845335364,0.522484882455626
"High...Low.1","CD8","BrM","High - Low",12.2769360549163,0.432456673760294,0.525125960994642
"High...Low.2","CD4","BrM","High - Low",14.2067127310248,0.112587862260515,0.212665962047639
"High...Low.3","Foxp3","BrM","High - Low",2.20031184463012,0.0446109807224391,0.151677334456293
"High...Low.4","GZMB","BrM","High - Low",13.1679725284087,0.559750858099331,0.634384305845908
"High...Low.5","CD16","BrM","High - Low",17.4706816502849,0.00129046037644635,0.00984972858406807
"High...Low.6","CD8+ GZMB - Cells","BrM","High - Low",5.12956369377097,0.703155137328143,0.747102333411152
"High...Low.7","CD8+ GZMB+ Cells","BrM","High - Low",6.66776786130295,0.413264234140043,0.525125960994642
"High...Low.8","CD8- CD4+ Cells","BrM","High - Low",7.98611111111111,0.0778658739796582,0.212665962047639
"High...Low.9","CD4+ FOXP3- Cells","BrM","High - Low",13.2808294514557,0.111888359200879,0.212665962047639
"High...Low.10","CD4+ FOXP3+ Cells","BrM","High - Low",1.32737195102684,0.0949622804361724,0.212665962047639
"High...Low.11","CD8- CD16+ GZMB- Cells","BrM","High - Low",8.4047299249515,0.00669665073326345,0.0284607656163697
"High...Low.12","CD8- CD16+ GZMB+ Cells","BrM","High - Low",0.690384965808194,0.334155161753328,0.522484882455626
"High...Low.13","CD16+ CD56+ Cells","BrM","High - Low",0.0398904887760895,0.914755250731579,0.914755250731579
"High...Low.14","CD16+ CD56- Cells","BrM","High - Low",13.8675640678694,0.00155255471094229,0.00984972858406807
"High...Low.15","CD16+ CD56+ GZMB+ Cells","BrM","High - Low",0.12903292568747,0.396744199826187,0.525125960994642
"High...Low.16","CD16+ CD56- GZMB- Cells","BrM","High - Low",13.4071192052847,0.00173818739718848,0.00984972858406807
