"","Cell","Subset","Contrast","log2FC","Pr(>|t|)","FDR"
"High...Low","IBA1","BrM","High - Low",1.09991432919917,0.27330863956038,0.97904454539661
"High...Low.1","CD163","BrM","High - Low",-1.70573841875374,0.760751975902593,0.97904454539661
"High...Low.2","CD206","BrM","High - Low",-1.80928780125744,0.205400073742316,0.97904454539661
"High...Low.3","ARG1","BrM","High - Low",0.951503791163673,0.345097171393918,0.97904454539661
"High...Low.4","CD11b","BrM","High - Low",-0.567523887900531,0.613710934545073,0.97904454539661
"High...Low.5","CD11c","BrM","High - Low",1.54386438672958,0.477425110942269,0.97904454539661
"High...Low.6","IBA1+ CD163+ Cells","BrM","High - Low",0.510954087711417,0.577204244110675,0.97904454539661
"High...Low.7","IBA1+ CD206+ Cells","BrM","High - Low",-0.0271205748295664,0.97904454539661,0.97904454539661
"High...Low.8","IBA1+ ARG1+ Cells","BrM","High - Low",0.0283612267549937,0.943551197038821,0.97904454539661
"High...Low.9","IBA1+ CD11b+ Cells","BrM","High - Low",0.177453582732311,0.850229441915503,0.97904454539661
"High...Low.10","IBA1+ CD11c+ Cells","BrM","High - Low",0.302050940101843,0.630511754787584,0.97904454539661
"High...Low.11","IBA1+ CD163+ CD206+ ARG1+ Cells","BrM","High - Low",-0.143067344693667,0.706387839384546,0.97904454539661
"High...Low.12","IBA1+ CD163+ CD206+ ARG1- Cells","BrM","High - Low",-0.129377185549434,0.896911709811791,0.97904454539661
"High...Low.13","CD11b+ CD11c+ Cells","BrM","High - Low",0.203917891904171,0.868678894590329,0.97904454539661
"High...Low.14","CD11b+ CD11c+ CD206+ Cells","BrM","High - Low",0.0680162224775522,0.964070060030997,0.97904454539661
"High...Low.15","CD11b+ CD11c- Cells","BrM","High - Low",0.285589799175238,0.788968004678859,0.97904454539661
"High...Low.16","CD11b+ ARG1+ Cells","BrM","High - Low",1.04357789892666,0.13955768973281,0.97904454539661
"High...Low.17","IBA1+ CD163- CD206- ARG1- Cells","BrM","High - Low",1.24856110180759,0.154262679894171,0.97904454539661
"High...Low.18","CD11b+ CD163- CD206- Cells","BrM","High - Low",0.034247564991236,0.962564616572152,0.97904454539661
"High...Low.19","IBA1+ CD11b+ CD163+ CD206+ Cells","BrM","High - Low",-0.26773934512828,0.765449962045685,0.97904454539661
