"","Cell","Subset","Contrast","Estimate","Pr(>|t|)","FDR"
"High...Low","IBA1","BrM","High - Low",-2.75999699922824,0.882837517107859,0.964738272883916
"High...Low.1","CD163","BrM","High - Low",-52.9857142855995,0.206343305171422,0.964738272883916
"High...Low.2","CD206","BrM","High - Low",-15.4,0.459379755227998,0.964738272883916
"High...Low.3","ARG1","BrM","High - Low",2.60000000000175,0.564505924576231,0.964738272883916
"High...Low.4","CD11b","BrM","High - Low",-29.9476145555638,0.643544081977674,0.964738272883916
"High...Low.5","CD11c","BrM","High - Low",13.4044408875919,0.757031989220093,0.964738272883916
"High...Low.6","IBA1+ CD163+ Cells","BrM","High - Low",-7.78173848790403,0.670906211807321,0.964738272883916
"High...Low.7","IBA1+ CD206+ Cells","BrM","High - Low",-2.46157947623376,0.770321045810253,0.964738272883916
"High...Low.8","IBA1+ ARG1+ Cells","BrM","High - Low",-0.285714285663415,0.717434402933407,0.964738272883916
"High...Low.9","IBA1+ CD11b+ Cells","BrM","High - Low",-9.46510101077532,0.658546225330348,0.964738272883916
"High...Low.10","IBA1+ CD11c+ Cells","BrM","High - Low",1.01428571428649,0.942183579675747,0.964738272883916
"High...Low.11","IBA1+ CD163+ CD206+ ARG1+ Cells","BrM","High - Low",-0.62857142857143,0.418383143905219,0.964738272883916
"High...Low.12","IBA1+ CD163+ CD206+ ARG1- Cells","BrM","High - Low",-3.13536266493461,0.671418154447269,0.964738272883916
"High...Low.13","CD11b+ CD11c+ Cells","BrM","High - Low",-1.05714285707908,0.964738272883916,0.964738272883916
"High...Low.14","CD11b+ CD11c+ CD206+ Cells","BrM","High - Low",-4.75714285714286,0.651335121266638,0.964738272883916
"High...Low.15","CD11b+ CD11c- Cells","BrM","High - Low",-10.6621094242678,0.822352289143218,0.964738272883916
"High...Low.16","CD11b+ ARG1+ Cells","BrM","High - Low",3.25714285714286,0.455440141565365,0.964738272883916
"High...Low.17","IBA1+ CD163- CD206- ARG1- Cells","BrM","High - Low",2.60000000000014,0.627832230527634,0.964738272883916
"High...Low.18","CD11b+ CD163- CD206- Cells","BrM","High - Low",0.800000000000756,0.825575571641173,0.964738272883916
"High...Low.19","IBA1+ CD11b+ CD163+ CD206+ Cells","BrM","High - Low",-4.60848672277155,0.553060546551559,0.964738272883916
