Tumor	TaxID	Taxa Name	Other Sample	Tumor Total Genome Length	Other Sample Genome Match	Percent of Length Matching	Average percent identity of Length Matching	Total Mismatches	Total Gaps
BTM-T-254	2682456	Veillonella nakazawae	GBM-01-2020-43	151	143	0.947019868	0.99301	1	0
BTM-T-254	2972775	Neisseria sp. Marseille-Q5346	GBM-BM-284	151	143	0.947019868	0.99301	1	0
BTM-T-335	2972775	Neisseria sp. Marseille-Q5346	GBM-BM-257	302	302	1	1	0	0
BTM-T-273	2682456	Veillonella nakazawae	GBM-01-2020-049	302	150	0.496688742	0.98	3	0
BTM-T-273	2682456	Veillonella nakazawae	GBM-01-2020-43	302	150	0.496688742	0.97333	4	0
BTM-T-079	28128	Prevotella corporis	GBM-01-2020-44	207	76	0.367149758	0.97368	2	0
BTM-T-079	1686	Bifidobacterium catenulatum	GBM-BM-284	153	153	1	0.98693	2	0
BTM-T-079	1686	Bifidobacterium catenulatum	GBM-01-2020-056	153	153	1	0.98039	3	0
BTM-T-079	1366	Lactococcus raffinolactis	GBM-01-2020-056	176	176	1	0.99432	1	0
BTM-T-079	1366	Lactococcus raffinolactis	BM-02-2020-43	176	176	1	0.99432	1	0
BTM-T-079	1366	Lactococcus raffinolactis	GBM-01-2020-43	176	176	1	1	0	0
BTM-T-079	1366	Lactococcus raffinolactis	GBM-01-2020-44	176	176	1	1	0	0
BTM-T-079	1366	Lactococcus raffinolactis	BM-02-2020-52	176	176	1	1	0	0
BTM-T-079	1366	Lactococcus raffinolactis	GBM-01-2020-049	176	176	1	1	0	0
BTM-T-079	1366	Lactococcus raffinolactis	GBM-01-2020-108	176	176	1	1	0	0
BTM-T-079	1366	Lactococcus raffinolactis	GBM-01-2020-41	176	176	1	1	0	0
BTM-T-079	1366	Lactococcus raffinolactis	GBM-BM-257	176	176	1	1	0	0
BTM-T-079	1366	Lactococcus raffinolactis	GBM-BM-346	176	176	1	1	0	0
BTM-T-079	1366	Lactococcus raffinolactis	GBM-BM-430	176	176	1	1	0	0
BTM-T-079	1366	Lactococcus raffinolactis	GBM-01-2020-046	176	176	1	1	0	0
BTM-T-079	1366	Lactococcus raffinolactis	GBM-BM-396	176	176	1	1	0	0
BTM-T-079	47678	Bacteroides caccae	GBM-01-2020-058	144	144	1	0.99306	1	0
BTM-T-079	47678	Bacteroides caccae	GBM-01-2020-049	144	144	1	0.99306	1	0
BTM-T-079	47678	Bacteroides caccae	BM-02-2020-52	144	144	1	0.99306	1	0
BTM-T-079	47678	Bacteroides caccae	GBM-BM-284	144	144	1	0.99306	1	0
BTM-T-079	47678	Bacteroides caccae	GBM-01-2020-046	144	144	1	0.99306	1	0
BTM-T-079	47678	Bacteroides caccae	GBM-BM-396	144	144	1	0.99306	1	0
BTM-T-079	47678	Bacteroides caccae	GBM-BM-346	144	144	1	0.99306	1	0
BTM-T-079	47678	Bacteroides caccae	GBM-BM-257	144	144	1	0.99306	1	0
BTM-T-079	47678	Bacteroides caccae	GBM-01-2020-41	144	144	1	0.99306	1	0
BTM-T-079	47678	Bacteroides caccae	GBM-BM-438	144	144	1	0.98611	2	0
BTM-T-079	47678	Bacteroides caccae	BM-02-2020-43	144	144	1	0.99306	1	0
BTM-T-463	1686	Bifidobacterium catenulatum	GBM-01-2020-056	301	151	0.50166113	0.98675	2	0
BTM-T-463	1686	Bifidobacterium catenulatum	GBM-BM-430	301	151	0.50166113	0.98675	2	0
BTM-T-463	1686	Bifidobacterium catenulatum	GBM-BM-346	301	151	0.50166113	0.98675	2	0
BTM-T-463	1686	Bifidobacterium catenulatum	GBM-01-2020-046	301	151	0.50166113	0.98675	2	0
BTM-T-463	1686	Bifidobacterium catenulatum	GBM-BM-257	301	151	0.50166113	0.98013	3	0
BTM-T-463	1686	Bifidobacterium catenulatum	GBM-01-2020-41	301	151	0.50166113	0.99338	1	0
BTM-T-463	1686	Bifidobacterium catenulatum	GBM-01-2020-108	301	151	0.50166113	0.98675	2	0
BTM-T-463	1686	Bifidobacterium catenulatum	GBM-01-2020-44	301	151	0.50166113	0.98675	2	0
BTM-T-061	33025	Phascolarctobacterium faecium	BM-02-2020-52	210	210	1	0.98571	3	0
BTM-T-061	33025	Phascolarctobacterium faecium	GBM-01-2020-049	210	210	1	1	0	0
BTM-T-061	33025	Phascolarctobacterium faecium	GBM-01-2020-41	210	210	1	0.99524	1	0
BTM-T-061	28111	Bacteroides eggerthii	GBM-01-2020-049	659	357	0.541729894	0.994399216	2	0
BTM-T-169	28111	Bacteroides eggerthii	GBM-01-2020-058	302	151	0.5	0.98675	2	0
BTM-T-169	28111	Bacteroides eggerthii	GBM-01-2020-049	302	302	1	1	0	0
BTM-T-169	28111	Bacteroides eggerthii	GBM-BM-257	302	143	0.473509934	1	0	0
BTM-T-005	28128	Prevotella corporis	GBM-BM-430	394	146	0.370558376	0.99315	1	0
BTM-T-257	2682456	Veillonella nakazawae	GBM-01-2020-046	302	144	0.476821192	1	0	0
BTM-T-257	387090	Phocaeicola coprophilus	GBM-01-2020-058	130	130	1	0.98462	2	0
BTM-T-257	387090	Phocaeicola coprophilus	GBM-01-2020-049	130	130	1	0.99231	1	0
BTM-T-257	387090	Phocaeicola coprophilus	GBM-BM-396	130	130	1	0.98462	2	0
BTM-T-257	2382163	Streptococcus koreensis	GBM-01-2020-049	151	151	1	1	0	0
T-052	2682456	Veillonella nakazawae	GBM-BM-284	532	151	0.283834586	0.99338	1	0
